vehicle;image;sequence;movie
Renault 11;Vehicle_-_Renault_Taxi.png;Bond commandeers this car and takes it on a pursuit through . During the pursuit the car has its roof chopped off and then later the entire back half of the car is ripped off.;A View to a Kill
Rolls-Royce Silver Cloud II;Vehicle_-_Rolls-Royce_Silver_Cloud_2.png;driven by Bond's companion . Along with its driver, it meets an untimely demise when pushed into a lake by .;A View to a Kill
Ford Bronco XLT;Bronco1.jpg;Driven by , Bond's CIA contact.;A View to a Kill
Ford Thunderbird;Vehicle - VTAK Thunderbird.png;car driven by Gogol to pick Pola Ivanova after she steals the (wrong) audio cassette from Bond.;A View to a Kill
Renault Fuego Turbo;Vehicle - VTAK Renault Fuego Turbo.png;driven by Jenny Flex and Pan Ho, before Tibbett gets killed by May Day.;A View to a Kill
1977 Cadillac Fleetwood limousine;Vehicle_-_Cadillac_Fleetwood_Limousine.png;No description available;A View to a Kill
Dodge Monaco;Unknown - Infobox.png;San Francisco Police Department motorcars during the fire engine chase.;A View to a Kill
Dodge Diplomat;Unknown - Infobox.png;San Francisco Police Department motorcars during the fire engine chase.;A View to a Kill
Land Rover Range Rover Series I;Vehicle_- VTAK Range Rover Series I.png;driven by Zorin's thugs at the horse racecourse.;A View to a Kill
Dodge D-100;Vehicle_- Dodge D-100.png;Max Zorin owns a red D-100 in A View to a Kill, where it is used by his mine workers at the Main Strike Mine.;A View to a Kill
MBB Bo 105;Vehicle_-_MBB_Bo_105_2015.png;No description available;A View to a Kill
Eurocopter AS355;Vehicle_-_Eurocopter AS355.png;white version is seen landing at Zorin's villa, bringing Stacey Sutton to its premises.;A View to a Kill
Skyship 6000;Skyship 6000.png;Max Zorin's first a larger airship. It is used for conferencing facilities, where Zorin first proposes the Main Strike plan.;A View to a Kill
Skyship 500;Vehicle_-_Blimp.png;Max Zorin's second, a much smaller blimp. It was intended to be used for Zorin to watch the destruction of Silicon Valley, but with that plan thwarted was a getaway vehicle that meets its end on the Golden Gate Bridge.;A View to a Kill
Iceberg Submarine;Vehicle_-_Iceberg.png;No description available;A View to a Kill
Glastron CVX-18 Intimidator;Intimidator1.jpg;No description available;A View to a Kill
Ford Mustang Mach 1;Vehicle_-_Ford_Mustang_Mach_1.png;"after escaping henchmen Bond is picked up by Tiffany Case in this car while in Las Vegas; Bond uses it to elude the Las Vegas Police.";Diamonds Are Forever
Triumph Stag;Vehicle_-_Triumph_Stag.png;Bond is seen early in the movie driving a yellow Stag to Amsterdam, while posing as diamond smuggler Peter Franks.;Diamonds Are Forever
Ford Galaxie 500;Bondwiki Bond Ford Galaxie waiting.jpg;The car Bond has when Leiter tries to survey Tiffany Case at the funfair. Also used by some of Whyte Electronics security that chase down Bond after he escapes the lab.;Diamonds Are Forever
1970 Ford Custom;Vehicle_-_Ford_Custom_1970_DAF_CIA.png;the blue-white cars used by the Las Vegas Police. Black ones are later used by Felix Leiter and the CIA agents, when they search the house where Willard Whyte is imprisoned at.;Diamonds Are Forever
1971 Ford Custom;Vehicle_-_Ford_Custom_1971_DAF_BW_Police.png;first appear as cars driven by Whyte Electronic security. Later appear as the black-white cars of the Las Vegas Police.;Diamonds Are Forever
Cadillac Funeral Coach;Vehicle - Cadillac Funeral Coach.png;the Slumber Inc hearse that picks up Bond and takes him to the funeral parlor.;Diamonds Are Forever
Honda ATC 90;Vehicle_-_Honda_ATV.png;Bond commandeers an all-terrain vehicle after he ditches the moon buggy.;Diamonds Are Forever
Moon buggy;Vehicle_-_Moon_Buggy.png;Used by Bond to escape from the laboratory. Fast but infamously fragile, one of its wheels can be seen rolling past the camera position as Bond drives by it during the escape.;Diamonds Are Forever
Manitowoc 3900;Vehicle_-_DAF_Oil_Platform_Crane.png;the mobile crane at Blofeld's Baja oil rig. Used by Bond to wreck Blofeld's Bathosub and destroy the control center for the diamond satellite.;Diamonds Are Forever
Hughes OH-06;Vehicle_-_MD 500 Helicopters.png;first appears when piloted by diamond smuggler Joe. Later in the film, armed variants are used by US military to siege Blofeld's Baja Oilrig.;Diamonds Are Forever
Bell 206 JetRanger;Bondwiki DAF71 Bell206 Whyte1.jpg;Willard Whyte's personal helicopter. Appears during the siege on Blofeld's Baja Oilrig.;Diamonds Are Forever
Bell UH-1 Iroquois;JGSDF UH-1H(front) (recortada).jpg;used by US military to siege Blofeld's Baja Oilrig.;Diamonds Are Forever
Bathosub;Vehicle_-Bathosub.png;No description available;Diamonds Are Forever
SS Canberra;Canberra (38978832350).jpg;cruise ship at the end of the movie.;Diamonds Are Forever
Aston Martin V12 Vanquish;Vehicle_-_Aston_Martin_V12_Vanquish.png;No description available;Die Another Day
Ford Fairlane;Vehicle_-_Ford_Fairlane_500.png;Classic automobile briefly driven by Bond during his visit to . A homage to ''Dr. No'' when Bond drives a 1957 Chevrolet Bel Air, a classic Ford was used in the film since FoMoCo vehicles (including those from Ford's Premiere Automotive Group) were extensively used.;Die Another Day
Jaguar XKR;Vehicle_-_Jaguar_XKR_-X100-.png;A convertible driven by , the car was extremely similar in almost every way to a James Bond automobile. The vehicle includes a gatling gun, thermal imaging capabilities, mortar bombs, rockets under the front grille, miniature missiles hidden in the door, and front ramming spikes.;Die Another Day
2002 Ford Thunderbird;Vehicle_-_Ford_Thunderbird.png;"Although only on screen for a short period of time, the vehicle was marketed as a Bond car. In fact Ford created a special ""007 edition"" of the car. In Bond spirit, only 700 were made. Jinx drives the 2002 Ford Thunderbird up to Graves ice palace. It's unknown what type of gadgets, if any, were installed.";Die Another Day
Switchblade;Vehicle_-_Switchblade.png;the Switchblade is essentially a one-man glider shaped like a fighter jet. It features retractable wings that control the speed and trajectory of the craft. Fitted with the same material on a stealth bomber, the switchblade allows Bond and Jinx to enter North Korea undetected.;Die Another Day
Boeing 747-436;BONDWIKI DAD PlaneBritAirways1.jpg;used by Bond to fly to England to try find Gustav Graves.;Die Another Day
Antonov An-124;Vehicle_-_Antonov_An-124.png;this aircraft is used to transport Gustav Graves' equipment out of Iceland. It is later used as Graves' airborne command centre during the Icarus attack on the .;Die Another Day
Mil Mi-8;Vehicle_-_Mil Mi-8.png;"vehicle transporting Van Bierk to Colonel Moon's base. It is hijacked by Bond and his accomplices to use to go instead of Van Bierk. Destroyed by Colonel Moon's XM29 ""Tank Buster"".";Die Another Day
MD Helicopters MD 600N;Vehicle_-_MD 600N.png;No description available;Die Another Day
Sunbeam Alpine;Vehicle_-_Sunbeam_Alpine.png;"Bond drives to Miss Taro's home in the Blue Mountains; he is pursued by Dr. No's thugs driving a LaSalle hearse. In the novel version, Bond drives the car that formerly belonged to Commander Strangways, the murdered agent in Kingston. It is also driven by Quarrel.";Dr. No
Chevrolet Bel Air Convertible;Vehicle_-_Chevrolet_Bel_Air.png;"When 007 arrives in Jamaica, this was the first car Bond was a passenger in; however, the car was stolen, as depicted later in the film. It is driven by a chauffeur known only as ""Mr Jones"" who is in fact an agent of Dr. No.";Dr. No
LaSalle Funeral Coach;Lasalle.jpg;Operated by the .;Dr. No
Dragon tank;Vehicle_-_Dragon_Tank.png;A modified swamp buggy with dragon camouflage and armor plating. The dragon tank was employed by Dr. Julius No to keep inquisitive locals away from his operations on Crab Key. It is equipped with a forward-firing flame thrower.;Dr. No
Lotus Turbo Esprit (1980);Vehicle_-_Lotus_Esprit_Turbo.png;this vehicle was cosmetically similar to the S1, but mechanically different, as it exhibited no submarine capabilities. It was most notable for its remarkable security system, which detonated and destroyed the car when  broke the driver's window in an attempt to force entry into the car. Q Branch provided a second Turbo to Bond - in bronze instead of white - later in the movie.;For Your Eyes Only
